issue_date;license_plate_number;violation_code;unit_description;fine_level1_amount;community_area_name
2005-03-10 16:30:00;25515fcf196d56759b5ebdf9242553b7123f5233184cfb38c2a3f45cc33fe5c8;0964080A;CPD;50;LOOP
2004-03-25 09:09:00;3ac2ab0e3e3b5650d244a5144f8504b9a9c9ebefa10f855cdd414733596a96ef;0964190A;DOF;30;LINCOLN PARK
2004-03-25 09:09:00;8df0227fb8b46ab982e659377ec530f13f0e1df780577b9ea920319e0fb201c3;0964190B;DOF;50;NEAR NORTH SIDE
2004-03-25 09:10:00;2fc210fa3627321a8ff15e52cf438ce1c756f3a870bee7546d52fd4ea1fa7904;0964190A;CPD;30;SOUTH LAWNDALE
2004-03-25 08:50:00;53be2a527995928f92bac719c7acca12b9d70625a067bb59588f9d0e973e1799;0964080A;CPD;50;SOUTH LAWNDALE
2004-03-25 08:50:00;893778c6f60915b493e24299df282a8e0dd4218b439841a11ec18e4ede3ec4ee;0964080A;CPD;50;LOOP
2004-03-25 08:50:00;a17895497ffdce414b7e2e62e61e25d861afbd2ff61fb0aace718736bb950907;0964080B;CPD;50;LOOP
2004-03-25 08:50:00;db4ee33688b98e987dea9505ad951fa11fc7da1d5530302ea264ba60ec652eea;0964080A;CPD;50;SOUTH LAWNDALE
2005-03-10 16:30:00;82462723cb7ba3cd5497bcb6e066d0fa0da2451287154b934d5356d525cc6fd9;0976160F;DOF;50;NEAR NORTH SIDE
2005-03-10 16:30:00;82462723cb7ba3cd5497bcb6e066d0fa0da2451287154b934d5356d525cc6fd9;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:31:00;ad09439fdea31799ba4d8d0a73201cac869d57bd0dc499ed987c5e7573f56443;0964080A;CPD;50;WEST GARFIELD PARK
2005-03-10 16:32:00;687e9b436b526620e156f58829ad67ae61a0edcd85493b55e0a0652cfeb6434e;0964080A;CPD;50;WEST GARFIELD PARK
2005-03-10 16:32:00;e8468f9d4770d238d1a3c0e1883258385dac5300697b69961dd811c1865f154e;0964080A;CPD;50;LOGAN SQUARE
2005-03-10 16:32:00;02b3010fcd160d0c06c9c8d298cc50bde53c8ab3b7f1f3ab8324173a91de913f;0964080A;DOF;50;NEAR NORTH SIDE
2005-03-10 16:32:00;60de0812dd5eda02e66b8e0513c6b09d4849649a16b1189da9056e14d467aede;0964190B;CPD;50;LOOP
2005-03-10 16:33:00;0aa50b1b49c744f82211e2ecfe5d8977309705655e376ea4be26f11dcc3d67d8;0964080A;CPD;50;WEST GARFIELD PARK
2005-03-10 16:33:00;1d13ec1a6bf5ab2a719d8b7bee4185e162a9853bc315d07091776efe9d568e23;0964080A;CPD;50;WEST TOWN
2005-03-10 16:33:00;c94d83c96b6835504fd7f59088b12a1953730dd882eac0dc089b1d1d250abf1b;0964080A;CPD;50;WEST GARFIELD PARK
2005-03-10 16:34:00;a57e9833c56b2f43c5931c454fcad75d66dbacd0ac4b754c3a6e992541adec06;0964080A;CPD;50;WEST GARFIELD PARK
